book_id,title,authors,original_publication_year,average_rating,language_code
90,The Outsiders,S.E. Hinton,1967.0,4.06,en-US
91,"The Maze Runner (Maze Runner, #1)",James Dashner,2009.0,4.02,eng
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005.0,3.93,en-US
93,The Secret Garden,Frances Hodgson Burnett,1911.0,4.12,eng
94,One Hundred Years of Solitude,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",1967.0,4.04,eng
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891.0,4.06,eng
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012.0,3.88,eng
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,3.98,eng
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",2006.0,4.22,eng
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011.0,3.87,eng
100,The Poisonwood Bible,Barbara Kingsolver,1998.0,4.02,eng
101,Me Talk Pretty One Day,David Sedaris,2000.0,3.97,eng
102,Where the Wild Things Are,Maurice Sendak,1963.0,4.22,eng
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844.0,4.21,eng
104,The Road,Cormac McCarthy,2006.0,3.95,eng
105,"Allegiant (Divergent, #3)",Veronica Roth,2013.0,3.63,eng
106,Bossypants,Tina Fey,2011.0,3.94,eng
107,A Walk to Remember,Nicholas Sparks,1999.0,4.15,en-US
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000.0,3.61,eng
109,Les MisÃ©rables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,4.14,eng
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998.0,4.4,eng
111,The Memory Keeper's Daughter,Kim Edwards,2005.0,3.64,eng
112,"Me Before You (Me Before You, #1)",Jojo Moyes,2012.0,4.27,eng
113,Catch-22,Joseph Heller,1961.0,3.98,en-US
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997.0,4.06,eng
115,Middlesex,Jeffrey Eugenides,2002.0,3.98,en-US
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876.0,3.89,eng
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962.0,4.04,en-US
118,The Joy Luck Club,Amy Tan,1989.0,3.9,eng
119,The Handmaid's Tale,Margaret Atwood,1985.0,4.06,eng
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001.0,3.75,eng
121,Lolita,"Vladimir Nabokov, Craig Raine",1955.0,3.88,eng
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995.0,3.52,eng
123,"The Firm (Penguin Readers, Level 5)",John Grisham,1991.0,3.99,eng
124,Room,Emma Donoghue,2010.0,4.03,eng
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,4.0,eng
126,Dune (Dune Chronicles #1),Frank Herbert,1965.0,4.19,eng
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000.0,3.92,eng
128,Steve Jobs,Walter Isaacson,2011.0,4.09,eng
129,One Flew Over the Cuckoo's Nest,Ken Kesey,1962.0,4.18,eng
130,The Old Man and the Sea,Ernest Hemingway,1952.0,3.73,eng
131,The Grapes of Wrath,John Steinbeck,1939.0,3.92,eng
132,The Five People You Meet in Heaven,Mitch Albom,2003.0,3.9,
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908.0,4.23,eng
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009.0,4.34,en-US
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000.0,4.54,eng
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996.0,3.79,en-US
137,"Outlander (Outlander, #1)",Diana Gabaldon,1991.0,4.2,eng
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,3.37,eng
139,"Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children, #1)",Ransom Riggs,2011.0,3.89,en-US
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007.0,4.2,en-US
141,The Martian,Andy Weir,2012.0,4.39,eng
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989.0,4.29,eng
143,All the Light We Cannot See,Anthony Doerr,2014.0,4.31,eng
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010.0,4.4,eng
145,Deception Point,Dan Brown,2001.0,3.67,eng
146,The Goldfinch,Donna Tartt,2013.0,3.87,eng
147,Thirteen Reasons Why,Jay Asher,2007.0,4.02,eng
148,Girl with a Pearl Earring,Tracy Chevalier,1999.0,3.85,eng
149,"If I Stay (If I Stay, #1)",Gayle Forman,2009.0,3.96,en-US
150,The Red Tent,Anita Diamant,1997.0,4.16,en-US
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006.0,4.23,eng
152,Dear John,Nicholas Sparks,2006.0,4.01,en-US
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008.0,4.21,eng
154,Macbeth,William Shakespeare,1606.0,3.88,eng
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,1954.0,4.42,en-US
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,2004.0,3.83,eng
157,Green Eggs and Ham,"Dr. Seuss, ××× × ×××¨",1960.0,4.29,en-US
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964.0,4.1,eng
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008.0,4.39,eng
160,Great Expectations,Charles Dickens,1860.0,3.75,eng
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955.0,4.51,en-US
162,The Stranger,"Albert Camus, Matthew    Ward",1942.0,3.96,eng
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,2010.0,4.35,eng
164,Eleanor & Park,Rainbow Rowell,2013.0,4.11,eng
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005.0,4.1,en-US
166,"Matched (Matched, #1)",Ally Condie,2010.0,3.68,eng
167,"American Gods (American Gods, #1)",Neil Gaiman,2001.0,4.11,eng
168,The Stand,"Stephen King, Bernie Wrightson",1978.0,4.34,en-US
169,The Last Song,Nicholas Sparks,2008.0,4.14,en-GB
170,Digital Fortress,Dan Brown,1998.0,3.6,en-GB
171,Emma,"Jane Austen, Fiona Stafford",1815.0,3.99,eng
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,4.02,eng
173,A Clockwork Orange,Anthony Burgess,1962.0,3.98,eng
174,The Shack,William Paul Young,2007.0,3.74,eng
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,2009.0,4.5,eng
176,It,Stephen King,1986.0,4.18,en-US
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",1866.0,4.18,eng
178,The Bell Jar,Sylvia Plath,1963.0,3.98,en-US
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,1996.0,4.07,eng
180,Siddhartha,"Hermann Hesse, Hilda Rosner",1922.0,3.99,eng
181,In Cold Blood,Truman Capote,1965.0,4.05,eng
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",2009.0,3.76,eng
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010.0,4.33,eng
184,Matilda,"Roald Dahl, Quentin Blake",1988.0,4.29,eng
185,The Night Circus,Erin Morgenstern,2011.0,4.03,eng
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001.0,4.04,eng
187,"Uglies (Uglies, #1)",Scott Westerfeld,2005.0,3.86,eng
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,2011.0,4.31,eng
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955.0,4.47,eng
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012.0,3.96,eng
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987.0,4.35,en-US
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007.0,4.55,eng
193,Outliers: The Story of Success,Malcolm Gladwell,2008.0,4.11,en-US
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,3.46,eng
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",2008.0,4.12,eng
196,Fight Club,Chuck Palahniuk,1996.0,4.2,eng
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001.0,3.96,en-US
198,The Color Purple,Alice Walker,1982.0,4.17,eng
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,2005.0,4.12,eng
200,And Then There Were None,Agatha Christie,1939.0,4.23,eng
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,2009.0,3.66,eng
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009.0,4.0,en-US
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011.0,4.15,eng
204,A Christmas Carol,Charles Dickens,1843.0,4.02,
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976.0,3.97,eng
206,"The Selection (The Selection, #1)",Kiera Cass,2012.0,4.15,en-US
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994.0,4.03,en-US
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010.0,4.04,eng
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,1988.0,4.14,eng
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007.0,4.14,en-US
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005.0,3.89,en-US
212,Atonement,Ian McEwan,2001.0,3.88,eng
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",1915.0,3.78,eng
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007.0,4.33,eng
215,Ready Player One,Ernest Cline,2011.0,4.31,eng
216,The Art of Racing in the Rain,Garth Stein,2006.0,4.19,eng
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",2003.0,3.98,eng
218,"Bared to You (Crossfire, #1)",Sylvia Day,2012.0,4.19,eng
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",1956.0,4.24,eng
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,,4.23,en-US
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,1995.0,4.08,eng
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,1980.0,3.98,eng
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,2001.0,3.82,eng
224,"Fallen (Fallen, #1)",Lauren Kate,2009.0,3.74,en-US
225,East of Eden,John Steinbeck,1952.0,4.35,eng
226,Dark Places,Gillian Flynn,2009.0,3.92,eng
227,The Client,John Grisham,1993.0,3.97,eng
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",2002.0,3.4,eng
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,4.06,eng
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,4.13,eng
231,Sarah's Key,Tatiana de Rosnay,2007.0,4.14,eng
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982.0,3.99,en-US
233,Love in the Time of Cholera,"Gabriel GarcÃ­a MÃ¡rquez, Edith Grossman",1985.0,3.89,eng
234,Speak,Laurie Halse Anderson,1999.0,4.0,eng
235,The Husband's Secret,Liane Moriarty,2013.0,3.92,eng
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997.0,4.11,en-US
237,Carrie,Stephen King,1974.0,3.93,
238,Running with Scissors,Augusten Burroughs,2002.0,3.7,en-US
239,World War Z: An Oral History of the Zombie War,Max Brooks,2006.0,4.01,en-US
240,"Inferno (Robert Langdon, #4)",Dan Brown,2013.0,3.8,eng
241,Number the Stars,Lois Lowry,1989.0,4.11,eng
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,1993.0,4.08,eng
243,Misery,Stephen King,1987.0,4.11,en-GB
244,Sharp Objects,Gillian Flynn,2006.0,3.92,en-US
245,Bridge to Terabithia,Katherine Paterson,1977.0,3.98,eng
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",2007.0,3.79,en-US
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1989.0,4.05,en-US
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,3.94,eng
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005.0,3.97,en-US
250,Wonder,R.J. Palacio,2012.0,4.43,eng
251,The Cat in the Hat,Dr. Seuss,1957.0,4.15,eng
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012.0,4.15,eng
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",2013.0,3.83,en-US
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009.0,3.78,eng
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957.0,3.68,eng
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",2006.0,3.64,en-US
257,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,4.03,eng
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz ZafÃ³n, Lucia Graves",2001.0,4.24,eng
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,2010.0,3.93,eng
260,How to Win Friends and Influence People,Dale Carnegie,1936.0,4.13,eng
261,Under the Tuscan Sun,Frances Mayes,1996.0,3.72,eng
262,Big Little Lies,Liane Moriarty,2014.0,4.2,eng
263,Ella Enchanted,Gail Carson Levine,1997.0,3.97,eng
264,The Sun Also Rises,Ernest Hemingway,1926.0,3.83,en-US
265,A Tree Grows in Brooklyn,Betty  Smith,1943.0,4.24,eng
266,"Kiss the Girls (Alex Cross, #2)",James Patterson,1995.0,3.93,eng
267,The Nightingale,Kristin Hannah,2015.0,4.54,eng
268,Never Let Me Go,Kazuo Ishiguro,2005.0,3.8,eng
269,P.S. I Love You,Cecelia Ahern,2003.0,4.01,en-US
270,Rebecca,"Daphne du Maurier, Sally Beauman",1938.0,4.2,en-US
271,Flowers for Algernon,Daniel Keyes,1966.0,4.07,en-US
272,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,3.94,en-US
273,Snow Flower and the Secret Fan,Lisa See,2005.0,4.05,eng
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,4.36,eng
275,An Abundance of Katherines,John Green,2006.0,3.63,eng
276,Foundation (Foundation #1),Isaac Asimov,1951.0,4.13,eng
277,The Ocean at the End of the Lane,Neil Gaiman,2013.0,3.99,eng
278,A Light in the Attic,Shel Silverstein,1981.0,4.34,eng
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",2016.0,3.75,eng
280,"Delirium (Delirium, #1)",Lauren Oliver,2011.0,3.99,eng
281,The Pelican Brief,John Grisham,1992.0,3.95,eng
282,Coraline,Neil Gaiman,2002.0,4.03,eng
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",1990.0,4.25,en-US
284,On the Road,Jack Kerouac,1955.0,3.64,eng
285,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013.0,4.01,eng
286,The Lucky One,Nicholas Sparks,2008.0,4.1,en-US
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",1943.0,3.85,eng
288,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,1984.0,4.01,
289,"Watership Down (Watership Down, #1)",Richard Adams,1972.0,4.05,eng
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011.0,3.84,eng
291,Cutting for Stone,Abraham Verghese,2009.0,4.28,eng
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",1951.0,4.08,eng
293,Treasure Island,Robert Louis Stevenson,1882.0,3.82,eng
294,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011.0,4.44,eng
295,11/22/1963,Stephen King,2011.0,4.29,eng
296,The Very Hungry Caterpillar Board Book,Eric Carle,1969.0,4.29,eng
297,Cat's Cradle,Kurt Vonnegut Jr.,1963.0,4.18,eng
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,3.87,eng
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",2010.0,4.01,eng
300,The Boy in the Striped Pajamas,John Boyne,2006.0,4.1,eng
301,Heart of Darkness,Joseph Conrad,1899.0,3.42,eng
302,Safe Haven,Nicholas Sparks,2010.0,4.19,eng
303,"The Secret (The Secret, #1)",Rhonda Byrne,2006.0,3.62,eng
304,I Know This Much Is True,Wally Lamb,1998.0,4.17,eng
305,Pet Sematary,Stephen King,1983.0,3.91,eng
306,She's Come Undone,Wally Lamb,1992.0,3.84,en-US
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,2011.0,4.57,eng
308,Can You Keep a Secret?,Sophie Kinsella,2003.0,3.83,en-US
309,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,2011.0,4.16,en-US
310,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,2001.0,3.7,en-US
311,The Thorn Birds,Colleen McCullough,1977.0,4.22,eng
312,The Graveyard Book,"Neil Gaiman, Dave McKean",2008.0,4.12,en-US
313,The Light Between Oceans,M.L. Stedman,2012.0,4.0,eng
314,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",2003.0,3.86,en-US
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",1998.0,3.74,eng
316,A Walk in the Woods,Bill Bryson,1997.0,4.05,eng
317,I Know Why the Caged Bird Sings,Maya Angelou,1969.0,4.19,en-US
318,Orphan Train,Christina Baker Kline,2013.0,4.14,eng
319,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012.0,4.3,eng
320,"Where'd You Go, Bernadette",Maria Semple,2012.0,3.9,eng
321,Where the Red Fern Grows,Wilson Rawls,1961.0,4.04,
322,Neverwhere,Neil Gaiman,1996.0,4.18,eng
323,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",1984.0,4.08,eng
324,Fangirl,Rainbow Rowell,2013.0,4.12,eng
325,A Prayer for Owen Meany,John Irving,1989.0,4.22,eng
326,White Oleander,Janet Fitch,1999.0,3.93,eng
327,"Legend (Legend, #1)",Marie Lu,2011.0,4.19,eng
328,Nineteen Minutes,Jodi Picoult,2007.0,4.1,eng
329,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",2008.0,4.25,eng
330,"The Eye of the World (Wheel of Time, #1)",Robert Jordan,1990.0,4.18,eng
331,The Pact,Jodi Picoult,1998.0,4.0,en-US
332,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,1953.0,4.01,eng
333,Still Alice,Lisa Genova,2007.0,4.3,eng
334,"Reflected in You (Crossfire, #2)",Sylvia Day,2012.0,4.33,eng
335,James and the Giant Peach,"Roald Dahl, Quentin Blake",1961.0,3.99,eng
336,"1st to Die (Women's Murder Club, #1)",James Patterson,2001.0,4.05,en-US
